ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,0:0:0,58.0203,COC(=O)Nc1cccc2c1cc(cc2)C(=[NH2+])N,True
1,0,0,1:0:0,66.1756,CC(C)n1cc(cn1)c2c(ccc3c2cc(cc3)C(=[NH2+])N)OC,True
2,0,0,2:0:0,65.7353,c1ccc(cc1)NC(=O)Nc2ccc3cc(ccc3c2)C(=[NH2+])N,True
3,0,0,3:0:0,66.8972,COc1ccc2ccc(cc2c1c3cnn(c3)S(=O)(=O)C)C(=[NH2+])N,True
4,0,0,4:0:0,57.6422,c1ccc(cc1)S(=O)(=O)Nc2ccc3cc(ccc3c2)C(=[NH2+])N,True
5,0,0,5:0:0,54.9542,c1cc2ccc(cc2c(c1)N)C(=[NH2+])N,True
6,0,0,6:0:0,78.7894,COC(=O)Nc1cc(cc2c1cc(cc2)C(=[NH2+])N)C(=O)Nc3ccc(cc3)C[NH3+],True
7,0,0,7:0:0,76.0345,c1cc2cc(ccc2cc1C#Cc3ccc4c(c3)CC[NH2+]C4)C(=[NH2+])N,True
8,0,0,8:0:0,70.9389,c1cc(cc(c1)/C=C/c2ccc3cc(ccc3c2)C(=[NH2+])N)CCO,True
9,0,0,9:0:0,56.2542,COc1cc2ccc(cc2c(c1OC)OC)C(=[NH2+])N,True
10,0,0,10:0:0,83.759,CS(=O)(=O)n1cc(cn1)c2cc(cc3c2cc(cc3)C(=[NH2+])N)C(=O)Nc4ccccc4,True
11,0,0,11:0:0,75.904,c1ccc(cc1)NC(=O)c2cc3ccc(cc3c(c2)c4ncccn4)C(=[NH2+])N,True
12,1,0,12:1:0,71.4485,c1c(cc(cc1Cl)Cl)CNc2c(nc(c(n2)N)C(=O)NC(=[NH2+])N)Cl,True
13,0,0,13:0:0,74.3308,c1cc(cc(c1)OC2CCCC2)C#Cc3ccc4cc(ccc4c3)C(=[NH2+])N,True
14,0,0,14:0:0,72.5139,CC(C)C1=NCCc2c1cc(cc2)NC(=O)c3cc4ccc(cc4c(c3)Br)C(=[NH2+])N,True
15,0,0,15:0:0,69.823,CC(C)Oc1cc(cc(c1)OC)NC(=O)c2ccc3cc(ccc3c2)C(=[NH2+])N,True
16,0,0,16:0:0,74.6022,c1ccc(cc1)C2=NCCc3c2cc(cc3)NC(=O)c4ccc5cc(ccc5c4)C(=[NH2+])N,True
17,0,0,17:0:0,62.1496,COc1ccc2ccc(cc2c1OCCCBr)C(=[NH2+])N,True
18,0,0,18:0:0,70.2818,c1cc(cc2c1cc(cc2)C(=O)Nc3ccc4c(c3)C(=NCC4)C5CCCCC5)C(=[NH2+])N,True
19,0,0,19:0:0,70.2393,c1cc(cnc1)CC/C=C/c2cc3ccc(cc3c(c2)Br)C(=[NH2+])N,True
20,0,0,20:0:0,69.9995,COC(=O)Nc1cc(cc2c1cc(cc2)C(=[NH2+])N)C(=O)Nc3ccccc3,True
21,0,0,21:0:0,67.2838,CS(=O)(=O)Nc1cc(cc2c1cc(cc2)C(=[NH2+])N)CCc3ccccc3,True
22,0,0,22:0:0,66.08,CCOc1cc(c(cc1OCC)OCC)/C=C/c2cc3ccc(cc3c(c2)Br)C(=[NH2+])N,True
23,0,0,23:0:0,69.3331,CC(C)C1c2cc(ccc2CC[NH+]1C)C3CC3c4cc5ccc(cc5c(c4)/C=C/COC)C(=[NH2+])N,True
24,0,0,24:0:0,53.7006,COc1ccc2ccc(cc2c1OCC(=O)N)C(=[NH2+])N,True
25,0,0,25:0:0,55.0743,C[NH+]1CCc2ccc(cc2C1C3CCCCC3)/C=C/c4ccc5cc(ccc5c4)C(=[NH2+])N,True
26,0,0,26:0:0,59.4639,C[NH+]1CCc2ccc(cc2C1C3CCC3)C4CC4c5ccc6cc(ccc6c5)C(=[NH2+])N,True
27,0,0,27:0:0,52.1633,CC(C)C1c2cc(ccc2CC[NH+]1C)C3CC3c4cc5ccc(cc5c(c4)OC)C(=[NH2+])N,True
28,0,0,28:0:0,66.5269,CC(C)C1c2cc(ccc2CC[NH+]1C)C3CC3c4cc5ccc(cc5c(c4)/C=C/C6CC6)C(=[NH2+])N,True
29,0,0,29:0:0,64.9984,C[NH+]1CCc2ccc(cc2C1c3cccnc3)C4CC4c5ccc6cc(ccc6c5)C(=[NH2+])N,True
30,0,0,30:0:0,61.8915,CC(C)Oc1ccc2cc(ccc2c1)C(=[NH2+])N,True
31,0,0,31:0:0,54.2761,c1ccc2cc(ccc2c1)C(=[NH2+])N,True
32,0,0,32:0:0,65.4485,c1ccc(cc1)NC(=O)c2ccc3cc(ccc3c2)C(=[NH2+])N,True
33,0,0,33:0:0,66.4828,c1ccc(cc1)C2C(O2)c3ccc4cc(ccc4c3)C(=[NH2+])N,True
34,0,0,34:0:0,72.3207,c1cc(ccc1C[NH3+])NC(=O)c2ccc3cc(ccc3c2)C(=[NH2+])N,True
