ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,0:0:0,-9.497414,COC(=O)Nc1cccc2c1cc(cc2)C(=[NH2+])N,True
1,0,0,1:0:0,-10.227792,CC(C)n1cc(cn1)c2c(ccc3c2cc(cc3)C(=[NH2+])N)OC,True
2,0,0,2:0:0,-9.293001,c1ccc(cc1)NC(=O)Nc2ccc3cc(ccc3c2)C(=[NH2+])N,True
3,0,0,3:0:0,-12.296974,COc1ccc2ccc(cc2c1c3cnn(c3)S(=O)(=O)C)C(=[NH2+])N,True
4,0,0,4:0:0,-9.061113,c1ccc(cc1)S(=O)(=O)Nc2ccc3cc(ccc3c2)C(=[NH2+])N,True
6,0,0,6:0:0,-12.548185,COC(=O)Nc1cc(cc2c1cc(cc2)C(=[NH2+])N)C(=O)Nc3ccc(cc3)C[NH3+],True
7,0,0,7:0:0,-13.230839,c1cc2cc(ccc2cc1C#Cc3ccc4c(c3)CC[NH2+]C4)C(=[NH2+])N,True
8,0,0,8:0:0,-10.143242,c1cc(cc(c1)/C=C/c2ccc3cc(ccc3c2)C(=[NH2+])N)CCO,True
9,0,0,9:0:0,-13.406862,COc1cc2ccc(cc2c(c1OC)OC)C(=[NH2+])N,True
10,0,0,10:0:0,-10.426195,CS(=O)(=O)n1cc(cn1)c2cc(cc3c2cc(cc3)C(=[NH2+])N)C(=O)Nc4ccccc4,True
11,0,0,11:0:0,-12.087909,c1ccc(cc1)NC(=O)c2cc3ccc(cc3c(c2)c4ncccn4)C(=[NH2+])N,True
12,1,0,12:1:0,-10.403334,c1c(cc(cc1Cl)Cl)CNc2c(nc(c(n2)N)C(=O)NC(=[NH2+])N)Cl,True
13,0,0,13:0:0,-11.308344,c1cc(cc(c1)OC2CCCC2)C#Cc3ccc4cc(ccc4c3)C(=[NH2+])N,True
14,0,0,14:0:0,-14.526492,CC(C)C1=NCCc2c1cc(cc2)NC(=O)c3cc4ccc(cc4c(c3)Br)C(=[NH2+])N,True
15,0,0,15:0:0,-9.813232,CC(C)Oc1cc(cc(c1)OC)NC(=O)c2ccc3cc(ccc3c2)C(=[NH2+])N,True
16,0,0,16:0:0,-6.314462,c1ccc(cc1)C2=NCCc3c2cc(cc3)NC(=O)c4ccc5cc(ccc5c4)C(=[NH2+])N,True
17,0,0,17:0:0,-12.611945,COc1ccc2ccc(cc2c1OCCCBr)C(=[NH2+])N,True
18,0,0,18:0:0,-4.538615,c1cc(cc2c1cc(cc2)C(=O)Nc3ccc4c(c3)C(=NCC4)C5CCCCC5)C(=[NH2+])N,True
19,0,0,19:0:0,-12.81642,c1cc(cnc1)CC/C=C/c2cc3ccc(cc3c(c2)Br)C(=[NH2+])N,True
20,0,0,20:0:0,-11.903332,COC(=O)Nc1cc(cc2c1cc(cc2)C(=[NH2+])N)C(=O)Nc3ccccc3,True
21,0,0,21:0:0,-9.771484,CS(=O)(=O)Nc1cc(cc2c1cc(cc2)C(=[NH2+])N)CCc3ccccc3,True
22,0,0,22:0:0,-6.139471,CCOc1cc(c(cc1OCC)OCC)/C=C/c2cc3ccc(cc3c(c2)Br)C(=[NH2+])N,True
23,0,0,23:0:0,-1.465691,CC(C)C1c2cc(ccc2CC[NH+]1C)C3CC3c4cc5ccc(cc5c(c4)/C=C/COC)C(=[NH2+])N,True
24,0,0,24:0:0,-12.286283,COc1ccc2ccc(cc2c1OCC(=O)N)C(=[NH2+])N,True
25,0,0,25:0:0,-10.326226,C[NH+]1CCc2ccc(cc2C1C3CCCCC3)/C=C/c4ccc5cc(ccc5c4)C(=[NH2+])N,True
26,0,0,26:0:0,-6.430682,C[NH+]1CCc2ccc(cc2C1C3CCC3)C4CC4c5ccc6cc(ccc6c5)C(=[NH2+])N,True
27,0,0,27:0:0,-13.374046,CC(C)C1c2cc(ccc2CC[NH+]1C)C3CC3c4cc5ccc(cc5c(c4)OC)C(=[NH2+])N,True
28,0,0,28:0:0,-0.095233,CC(C)C1c2cc(ccc2CC[NH+]1C)C3CC3c4cc5ccc(cc5c(c4)/C=C/C6CC6)C(=[NH2+])N,True
29,0,0,29:0:0,-6.086061,C[NH+]1CCc2ccc(cc2C1c3cccnc3)C4CC4c5ccc6cc(ccc6c5)C(=[NH2+])N,True
30,0,0,30:0:0,-12.051908,CC(C)Oc1ccc2cc(ccc2c1)C(=[NH2+])N,True
31,0,0,31:0:0,-11.221032,c1ccc2cc(ccc2c1)C(=[NH2+])N,True
32,0,0,32:0:0,-12.620167,c1ccc(cc1)NC(=O)c2ccc3cc(ccc3c2)C(=[NH2+])N,True
33,0,0,33:0:0,-12.355686,c1ccc(cc1)C2C(O2)c3ccc4cc(ccc4c3)C(=[NH2+])N,True
34,0,0,34:0:0,-13.374872,c1cc(ccc1C[NH3+])NC(=O)c2ccc3cc(ccc3c2)C(=[NH2+])N,True
