ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,0:0:0,-10.5418,[H]c1c([H])c(-c2c(-c3c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c3[H])n([H])c3c([H])c([H])c([H])c([H])c23)c([H])c([H])c1OC([H])([H])[H],True
1,0,0,1:0:0,-10.5469,[H]c1c([H])c(-c2c(-c3c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c([H])c3[H])n([H])c3c([H])c([H])c([H])c([H])c23)c([H])c([H])c1OC([H])([H])[H],True
3,0,0,3:0:0,-10.3447,[H]c1c(-c2c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c([H])c2[H])nc(N([H])C([H])([H])c2c([H])c([H])c(F)c([H])c2[H])nc1C(F)(F)F,True
5,0,0,5:0:0,-10.6696,[H]c1nn2nc(-c3c([H])c([H])c(OC([H])([H])C([H])([H])[H])c([H])c3[H])c(-c3c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c3[H])c2c([H])c1[H],True
6,0,0,6:0:0,-10.149,[H]c1c([H])c(C2=C(c3c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c([H])c3[H])C([H])([H])C3(C2([H])[H])C([H])([H])C3([H])[H])c([H])c([H])c1Cl,True
7,0,0,7:0:0,-10.4958,[H]c1c([H])c(C2=C(c3c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c3[H])C([H])([H])C3(C2([H])[H])C([H])([H])C3([H])[H])c([H])c([H])c1OC([H])([H])[H],True
8,0,0,8:0:0,-10.6873,[H]c1c([H])c(C2=C(c3c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c3[H])C([H])([H])C3(C2([H])[H])C([H])([H])C3([H])[H])c([H])c([H])c1Cl,True
9,0,0,9:0:0,-10.7528,[H]c1c([H])c(C2=C(c3c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c3[H])C([H])([H])C3(C2([H])[H])C([H])([H])C3([H])[H])c([H])c(Cl)c1Cl,True
10,0,0,10:0:0,-8.5754,[H]c1c([H])c([H])c(N2C(=O)c3c([H])c([H])c([H])c([H])c3C2=O)c([H])c1[H],True
11,0,0,11:0:0,-9.87928,[H]C([H])=C1C(c2c([H])c([H])c([H])c([H])c2[H])=C(c2c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c([H])c2[H])C1([H])[H],True
12,0,0,12:0:0,-8.83776,[H]c1c([H])c(C2=C(c3c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c([H])c3[H])C([H])([H])OC2=O)c([H])c([H])c1OC(=O)C([H])([H])[H],True
13,0,0,13:0:0,-11.3694,[H]c1c([H])c([H])c(-c2c(F)c(C(F)(F)F)nn2-c2c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c2[H])c([H])c1[H],True
14,0,0,14:0:0,-8.02836,[H]c1c([H])c([H])c(C2=C(c3c([H])c([H])c(-c4nnn[n-]4)c([H])c3[H])C([H])([H])OC2=O)c([H])c1[H],True
15,0,0,15:0:0,-8.89629,[H]c1c([H])c(-n2nc(C(F)(F)F)c([H])c2-c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])c([H])c([H])c1-c1nnn[n-]1,True
16,0,0,16:0:0,-11.3755,[H]c1c([H])c(-c2c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c2[H])c(-c2c([H])c([H])c(F)c(Cl)c2[H])c(F)c1F,True
17,0,0,17:0:0,-11.5287,[H]c1c([H])c(-c2c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c2[H])c(-c2c([H])c([H])c(F)c(C([H])([H])[H])c2[H])c(F)c1F,True
18,0,0,18:0:0,-10.6385,[H]c1c([H])c(C2=C(c3c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c3[H])C([H])([H])C([H])([H])C2([H])[H])c([H])c2c1OC([H])([H])O2,True
19,0,0,19:0:0,-10.2671,[H]c1c([H])c([H])c(-c2noc(C([H])([H])F)c2-c2c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c2[H])c([H])c1[H],True
20,0,0,20:0:0,-10.5814,[H]c1c(Cl)c([H])c(-c2c(Cl)nc([H])n2-c2c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c2[H])c([H])c1Cl,True
21,0,0,21:0:0,-10.7865,[H]c1c([H])c(S(=O)(=O)N([H])[H])c([H])c([H])c1C1=C(c2c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c(Cl)c2[H])C([H])([H])C([H])([H])C1([H])[H],True
22,0,0,22:0:0,-11.2439,[H]c1c([H])c(S(=O)(=O)N([H])[H])c([H])c([H])c1-c1c([H])c(C(F)(F)F)nn1-c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],True
23,0,0,23:0:0,-11.0679,[H]c1c([H])c(-c2c([H])c(F)c(F)c([H])c2-c2c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c2[H])c([H])c(Cl)c1F,True
24,0,0,24:0:0,-10.4486,[H]c1c(-c2c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c2[H])nc(N([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])nc1C(F)(F)F,True
25,0,0,25:0:0,-10.2503,[H]c1c([H])c(C2=C(c3c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c([H])c3[H])C([H])([H])C3(C2([H])[H])C([H])([H])C3([H])[H])c([H])c2c1OC([H])([H])O2,True
26,0,0,26:0:0,-9.68751,[H]c1c([H])c([H])c(C2=C(c3c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c([H])c3[H])C(C([H])([H])[H])(C([H])([H])[H])C2=O)c([H])c1[H],True
27,0,0,27:0:0,-10.2365,[H]c1c(-c2c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c([H])c2[H])nc(N(c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])C([H])([H])[H])nc1C(F)(F)F,True
29,0,0,29:0:0,-9.86846,[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1C1=C(c2c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c([H])c2[H])C([H])([H])C([H])([H])C1([H])[H],True
30,0,0,30:0:0,-11.7226,[H]c1c([H])c(C([H])([H])[H])c(Cl)c([H])c1-c1nc(C(F)(F)F)c([H])n1-c1c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c1[H],True
31,1,0,31:1:0,-7.45455,[H]C(=C1C(=O)OC([H])([H])C1([H])[H])c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c2c(c1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])O2,True
32,0,0,32:0:0,-8.78385,[H]c1c([H])c(-c2c(Cl)nc([H])n2-c2c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c([H])c2[H])c([H])c([H])c1OC([H])([H])C([H])([H])[H],True
33,0,0,33:0:0,-11.2424,[H]c1c([H])c(-c2c([H])c(F)c(F)c([H])c2-c2c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c2[H])c([H])c2c1OC([H])([H])O2,True
34,0,0,34:0:0,-11.0015,[H]c1c([H])c(-c2c([H])c(F)c(F)c([H])c2-c2c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c2[H])c([H])c([H])c1F,True
35,0,0,35:0:0,-10.8972,[H]c1c([H])c(-c2nc(C([H])([H])[H])sc2-c2c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c2[H])c([H])c([H])c1Cl,True
36,0,0,36:0:0,-10.6013,[H]c1c([H])c([H])c2c(c1[H])C(c1c([H])c([H])c(F)c([H])c1[H])=C(c1c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c1[H])C2([H])[H],True
37,0,0,37:0:0,-10.7706,[H]c1c([H])c(-c2c(-c3c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c3[H])oc3c([H])c([H])c([H])c([H])c23)c([H])c(F)c1OC([H])([H])[H],True
38,0,0,38:0:0,-11.5686,[H]c1c(F)c(F)c([H])c2c1-c1c(c(C(F)(F)F)nn1-c1c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c1[H])SC2([H])[H],True
39,0,0,39:0:0,-10.7602,[H]c1c([H])c(C([H])([H])[H])c(F)c([H])c1-c1c(Cl)nc([H])n1-c1c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c([H])c1[H],True
