ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,1,0,0:1:0,-5.47522,Cc1c[nH+]cn1CCCNC(=S)C2(CC2)c3ccc(c(c3)OC)OC,True
1,1,0,1:1:0,-6.72048,Cc1c[nH+]cn1CCCNC(=S)Nc2ccc(c(c2)OC)OC,True
2,0,0,2:0:0,-5.30694,Cc1cncn1CCCN2Cc3c4c(sc3NC2=S)CCCC4,True
3,0,0,3:0:0,-5.80196,Cc1cncn1CCCN2Cc3ccccc3NC2=S,True
4,1,0,4:1:0,-5.07343,Cc1c[nH+]cn1CCCN2Cc3cc(sc3NC2=S)Cc4ccccc4,True
5,0,0,5:0:0,-5.61577,Cc1cncn1CCCNC(=CN(=O)=O)Nc2ccc(cc2)C(F)(F)F,True
6,1,0,6:1:0,-5.61494,Cc1c[nH+]cn1CCCNC(=CN(=O)=O)Nc2cccc3c2cccc3,True
7,0,0,7:0:0,-5.27717,Cc1cncn1CCCNC(=CN(=O)=O)NC2CCCCC2,True
8,1,0,8:1:0,-6.56058,COc1ccc(cc1OC)NC(=S)NCCCn2cc[nH+]c2,True
9,3,0,9:3:0,-5.4871,Cc1c[nH+]cn1CCCN=C(NC#N)Nc2cc(c(c(c2)OC)OC)OC,True
10,0,0,10:0:0,-5.76772,Cc1cncn1CCCNC(=CN(=O)=O)Nc2ccc3c(c2)OCCO3,True
11,0,0,11:0:0,-5.55327,Cc1ccc(cc1C)NC(=NCCCn2cncc2C)NC#N,True
12,0,0,12:0:0,-5.58446,Cc1cncn1CCCN2Cc3c(c(sc3NC2=S)C)c4ccccc4,True
13,1,0,13:1:0,-6.0711,Cc1cncn1CCCN=C(NC#N)Nc2ccc3c(c2)OCCO3,True
14,0,0,14:0:0,-5.55716,Cc1cncn1CCCNC(=NC#N)Nc2ccc(c(c2)Cl)Cl,True
15,1,0,15:1:0,-6.58697,Cc1cc(c(cc1Cn2ccnc2)C)Cn3cc[nH+]c3,True
16,1,0,16:1:0,-6.752,CC(CNC(=S)Nc1ccc(c(c1)OC)OC)Cn2cc[nH+]c2,True
17,0,0,17:0:0,-5.73565,COc1cc(cc(c1OC)OC)NC(=S)NCCCn2ccnc2,True
18,0,0,18:0:0,-5.90189,c1cn(cn1)CCCN2Cc3c4c(sc3NC2=S)CCCC4,True
19,0,0,19:0:0,-5.54297,Cc1csc2c1NC(=S)N(C2)CCCn3ccnc3,True
20,0,0,20:0:0,-7.1077,COc1ccc(cc1OC)CC(=S)NCCCn2ccnc2,True
21,1,0,21:1:0,-5.91054,COc1ccc(cc1)C2(CC2)C(=S)NCCCn3cc[nH+]c3,True
22,0,0,22:0:0,-4.23137,c1cn(cn1)CCCNC(=CN(=O)=O)NC2CCCCC2,True
23,0,0,23:0:0,-6.25855,c1ccc2c(c1)cccc2NC(=CN(=O)=O)NCCCn3ccnc3,True
24,0,0,24:0:0,-5.8003,c1cc2c(cc1NC(=CN(=O)=O)NCCCn3ccnc3)OCCO2,True
25,0,0,25:0:0,-5.74338,c1cc(ccc1C(F)(F)F)NC(=CN(=O)=O)NCCCn2ccnc2,True
26,0,0,26:0:0,-7.05536,COc1ccc(c(c1)OC)NC(=S)NCCCn2ccnc2,True
27,0,0,27:0:0,-5.57869,c1cc(ccc1NC(=CN(=O)=O)NCCCn2ccnc2)Cl,True
28,1,0,28:1:0,-6.54159,c1cn(c[nH+]1)CCCN2C(=O)CNC2=S,True
29,1,0,29:1:0,-5.02872,COc1ccc(cc1)NC(=S)NCCCn2cc[nH+]c2,True
30,1,0,30:1:0,-5.4514,COc1ccc(cc1)NC(=NCCCn2cc[nH+]c2)NC#N,True
31,1,0,31:1:0,-5.91878,CC(C)c1ccc(cc1)NC(=NCCCn2cc[nH+]c2)NC#N,True
32,1,0,32:1:0,-6.82295,COc1ccc(cc1OC)NC(=S)CCCCn2cc[nH+]c2,True
33,0,0,33:0:0,-5.34451,c1cc(ccc1NC(=S)NCCn2ccnc2)Cl,True
34,1,0,34:1:0,-4.9953,c1cn(c[nH+]1)CCCNC(=NC#N)NCC2CC2,True
35,1,0,35:1:0,-7.86601,COc1ccc(cc1OC)CNC(=S)NCCCn2cc[nH+]c2,True
36,1,0,36:1:0,-6.60435,COc1ccc2c(c1)sc(n2)NCCCn3cc[nH+]c3,True
37,1,0,37:1:0,-6.34418,CC(=O)c1ccc(cc1)NC(=S)NCCCn2cc[nH+]c2,True
38,0,0,38:0:0,-5.34327,c1cc(ccc1C(=O)[O-])OCCn2ccnc2,True
39,1,0,39:1:0,-6.45319,COc1ccc(cc1OC)NC(=S)NCC2(CC2)Cn3cc[nH+]c3,True
