ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
0,0,0,0:0:0,-6.02393,[H]c1c(Cl)c([H])n2c(Sc3nc(C([H])([H])[H])nc4sc(C(=O)OC([H])([H])[H])c(C([H])([H])[H])c34)nnc2c1Cl,True
3,1,0,3:1:0,-4.61955,[H]C(c1c(N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])nc2c([H])c([H])c([H])c([H])c2c1[H])=c1sc(=C([H])C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])n(C([H])([H])[H])c1=O,True
15,0,0,15:0:0,-4.89755,[H]c1sc(-n2nnn(C([H])([H])C(=O)[N-]c3nc4c([H])c([H])c(Br)c([H])c4s3)c2=O)c([H])c1[H],True
20,1,0,20:1:0,-5.4574,[H]C(=C(C#N)C(=O)[N-]c1nc(-c2c([H])c([H])c([H])c([H])c2Cl)c([H])s1)c1c(Cl)nc2sc([H])c([H])n12,True
25,0,0,25:0:0,-7.11782,[H]c1c([H])c([H])c(C2=NC([H])([H])C(=O)N(C([H])([H])c3c([H])c([H])c([H])c([N+](=O)[O-])c3[H])c3c([H])c([H])c(Cl)c([H])c32)c(Cl)c1[H],True
31,1,0,31:1:0,-7.56567,[H]c1c([H])c([H])c2sc(C(=O)N=c3sc4c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c4n3C([H])([H])C([H])([H])C(=O)OC([H])([H])[H])nc2c1[H],True
32,0,0,32:0:0,-7.06462,[H]c1sc2nc(C([H])([H])OC(=O)c3sc4nc(C5([H])C([H])([H])C5([H])[H])nc(C([H])([H])[H])c4c3C([H])([H])[H])c([H])c(=O)n2c1[H],True
33,1,0,33:1:0,-7.51947,[H]C(=NN(C(=O)c1oc([H])c([H])c1[H])c1nc2c([H])c([H])c(F)c([H])c2s1)c1sc([N+](=O)[O-])c([H])c1[H],True
34,0,0,34:0:0,-5.78827,[H]c1nc(SC([H])([H])c2c([H])c([N+](=O)[O-])c([H])c3c2OC([H])([H])OC3([H])[H])n(-c2c([H])c([H])c([H])c(Cl)c2C([H])([H])[H])c1[H],True
38,2,0,38:2:0,-6.43243,[H]C(=NN=C1SC([H])(C([H])([H])[H])C(=O)N1C([H])([H])c1c([H])c([H])c([H])c2c([H])c([H])c([H])c([H])c12)c1c([H])c([H])c([H])c([N+](=O)[O-])c1[H],True
