ligand_number,score,Kd (nM),Log Kd (nM)
0,-7.7449,178,2.250420002
1,-8.03648,15.4,1.187520721
2,-7.68241,2.95,0.469822016
3,-7.73804,535,2.728353782
4,-5.8681,2100,3.322219295
5,-5.8837,9850,3.99343623
6,-7.05926,3950,3.596597096
7,-8.13914,27.4,1.437750563
8,-8.63724,19.9,1.298853076
9,-7.29237,205,2.311753861
10,-6.42665,128,2.10720997
11,-6.4777,459,2.661812686
12,-8.20898,173,2.238046103
13,-5.4537,2780,3.444044796
14,-6.45319,13,1.113943352
15,-6.24387,7020,3.846337112
16,-7.51181,6050,3.781755375
17,-6.56819,106,2.025305865
18,-7.51161,1910,3.281033367
19,-6.17565,263,2.419955748
20,-6.20408,121,2.08278537
21,-6.31342,139,2.1430148
22,-7.72959,11.5,1.06069784
23,-4.73022,3260,3.5132176
24,-8.20152,1.36,0.133538908
25,-6.38832,423,2.626340367
26,-6.66443,311,2.492760389
27,-6.4935,122,2.086359831
28,-7.36008,37.8,1.5774918
29,-6.4935,1790,3.252853031
30,-7.01986,2070,3.315970345
31,-8.59316,4.57,0.6599162
32,-8.26524,6.67,0.824125834
33,-5.32037,380,2.579783597
34,-6.80229,500,2.698970004
35,-8.12617,1660,3.220108088
36,-6.41774,8900,3.949390007
37,-8.4393,247,2.392696953
38,-7.6464,65.7,1.81756537
39,-8.28367,11.3,1.053078443
40,-6.99488,192,2.283301229
41,-6.62091,390,2.591064607
42,-7.39976,949,2.977266212
43,-6.75509,2190,3.340444115
44,-6.66286,369,2.567026366
45,-7.85049,1560,3.193124598
46,-8.40286,272,2.434568904
47,-9.70882,237,2.374748346
48,-6.88791,76.8,1.88536122
49,-8.15416,20.6,1.31386722
50,-6.23192,168,2.225309282
51,-7.33195,55,1.740362689
52,-7.97544,3.93,0.59439255
53,-7.68105,1530,3.184691431
54,-7.08579,59.4,1.773786445
55,-7.40389,1090,3.037426498
56,-6.1966,5.79,0.762678564
57,-7.86957,8370,3.922725458
58,-5.55613,146,2.164352856
59,-8.31028,10.6,1.025305865
60,-6.306,26.9,1.42975228
61,-7.59472,32,1.505149978
62,-7.86433,40.4,1.606381365
63,-7.71133,23.2,1.365487985
64,-5.37237,6640,3.822168079
65,-7.12862,5.9,0.770852012
66,-5.91454,3590,3.555094449
67,-5.80588,7.79,0.891537458
68,-5.98603,1640,3.214843848
69,-6.18219,16.6,1.220108088
70,-7.34946,6.41,0.80685803
71,-7.12467,4.4,0.643452676
72,-6.54745,75.6,1.878521796
73,-7.74863,58.7,1.768638101
74,-8.14012,4.38,0.641474111
75,-7.79601,57.9,1.762678564
76,-7.32404,1250,3.096910013
77,-7.94621,6540,3.815577748
78,-6.4478,64.2,1.807535028
79,-6.33494,9.06,0.957128198
80,-5.55355,5.48,0.738780558
81,-6.18488,7.17,0.855519156
82,-5.28401,66.6,1.823474229
83,-5.58148,14.8,1.170261715
84,-9.04042,23.9,1.378397901
85,-5.45176,1.6,0.204119983
86,-5.45176,7.97,0.901458321
87,-5.93652,49.4,1.693726949
88,-6.94664,18.7,1.271841607
89,-6.20656,24.5,1.389166084
90,-6.51361,5.76,0.760422483
91,-5.63664,64.4,1.808885867
92,-6.42281,5.26,0.720985744
93,-6.11435,11.5,1.06069784
94,-6.31112,11.5,1.06069784
95,-6.53586,8.64,0.936513742
96,-8.08071,96.6,1.984977126
97,-6.79771,5.41,0.733197265
98,-7.34554,7810,3.892651034
99,-6.44883,777,2.890421019
100,-7.62753,23.1,1.36361198
101,-4.94572,5.17,0.713490543
102,-6.3686,2440,3.387389826
103,-6.56263,5.26,0.720985744
104,-8.5375,0.299,-0.524328812
105,-7.91992,0.81,-0.091514981
106,-8.02184,5.22,0.717670503
107,-6.64617,10000,4
108,-6.34878,10000,4
109,-7.64695,10000,4
110,-7.39084,10000,4
111,-7.25039,10000,4
112,-8.20201,10000,4
113,-7.71407,10000,4
114,-7.41982,10000,4
115,-7.35037,10000,4
116,-5.27936,10000,4
117,-7.6879,10000,4
118,-7.73939,10000,4
119,-6.15556,10000,4
120,-5.59041,10000,4
121,-8.21524,10000,4
122,-6.96064,10000,4
123,-6.46478,10000,4
124,-5.59031,10000,4
125,-6.70996,10000,4
126,-7.29999,10000,4
127,-7.56337,10000,4
128,-6.12449,10000,4
129,-6.52511,10000,4
130,-6.93382,10000,4
131,-7.58574,10000,4
132,-6.62389,10000,4
133,-6.79853,10000,4
134,-6.68259,10000,4
135,-7.43746,10000,4
136,-6.24438,10000,4
